
 03.02.2022 10:00 SAATINE AIT SNAPSHOT FULL TEIAS DOSYASIDIR.


 The Saved Case in file C:\Users\erdidogan\Downloads\20220203_1000_SN4_TR0.sav was saved on THU, FEB 03 2022  11:30

 The following option settings are changed to the settings contained in the Saved Case File:

 ** VOLTAGE OUTPUT UNITS option setting set to KILOVOLTS

 ** VOLTAGE INPUT UNITS option setting set to KILOVOLTS

 ** SHORT CIRCUIT UNITS option setting set to PHYSICAL UNITS

 ** SHORT CIRCUIT IMPEDANCE UNITS option setting set to PHYSICAL UNITS

 ** SHORT CIRCUIT COORDINATES option setting set to POLAR

 ** SHORT CIRCUIT IMPEDANCE COORDINATES option setting set to POLAR

 ** TRANSFORMER PERCENT LOADING UNITS option setting set to CURRENT

----------------------------------------------------------------------------------------------------------
TEMEL DURUM GÜÇ AKIÞI
----------------------------------------------------------------------------------------------------------
     From Bus  To Bus             From Name               To Name  ID  Power Flow(%)  Power Flow(MVA)   RATEA
264    213921  218821          TOYOTASA              ASAS          1            6.85          17.1250   250.0
265    232221  234422          KAYNASLI              BOLU1         1            6.69          12.0420   180.0
266    216021  222221          GEYVERES              PASALAR       1            6.65          16.6250   250.0
267    230621  232321          CATES                 BARTIN        1            5.92          19.8912   336.0
268    231121  233821          OSMANCA               AKSUHES       1            5.92          14.8000   250.0
269    230621  232321          CATES                 BARTIN        2            5.84          19.6224   336.0
270    232022  234422          BOLU2                 BOLU1         1            5.79          10.4220   180.0
271    210822  216621          GOZTEPE               KADIKOY       1            5.43          13.5750   250.0
272    210321  213121          ADAPAZARI             SAKARYA       1            4.99          16.7664   336.0
273    210010  216910          UMRANIYE              KAVACIK       1            4.90         101.4300  2070.0
274    230721  230821          CAYCUMA               OYKA          1            4.71           8.4780   180.0
275    222121  228021          INEGOL                EDEBEY        1            4.66          15.6576   336.0
276    210221  217522          PASAKOY               CUMHURIYET    1            4.29           7.5075   175.0
277    210221  217521          PASAKOY               CUMHURIYET    1            4.29           7.5075   175.0
278    212221  214022          SILE                  ISAKOY        1            3.81           9.5250   250.0
279    219321  227321          HASANAGA              TASPINARRES   1            3.27          10.9872   336.0
